"","scale","prl","lgl","plc"
"1081",10,10,10,10
"1082",5,5,7,7
"1083",5,4,7,7
"1084",6,5,6,7
"1086",3,3,6,7
"1087",5,9,9,8
"1088",3,8,9,7
"1089",5,4,6,6
"1090",7,7,9,7
"1091",3,7,8,8
"1093",5,5,5,7
"1094",3,3,8,8
"1096",7,8,8,9
"1097",5,8,8,8
"1098",6,7,5,8
"1099",4,6,8,9
"1100",3,6,8,8
"1101",2,8,8,6
"1102",7,8,9,10
"1103",6,5,7,5
"1105",6,5,7,7
"1106",7,3,2,1
"1107",8,5,3,8
"1108",0,7,7,8
"1109",6,7,6,5
"1110",8,6,7,7
"1111",2,0,1,0
"1112",4,5,4,5
"1113",2,7,8,8
"1114",2,6,7,7
"1115",6,7,6,6
"1116",6,6,7,8
"1118",6,7,5,7
"1119",2,4,7,9
"1120",5,0,2,3
"1121",5,5,5,5
"1122",7,4,3,7
"1123",5,6,7,8
"1124",5,7,5,5
"1126",5,8,9,8
"1128",7,8,7,8
"1130",2,6,6,7
"1131",4,5,6,7
"1132",6,5,1,7
"1134",3,6,6,7
"1135",5,1,4,7
"1136",4,5,9,9
"1137",5,5,8,8
"1138",0,4,3,3
"1139",7,6,7,7
"1140",8,4,4,8
"1141",4,6,5,7
"1142",5,5,7,7
"1143",5,6,8,8
"1144",2,7,8,7
"1147",5,8,4,3
"1148",1,7,9,9
"1149",8,7,7,6
"1150",5,6,7,8
"1151",6,10,10,6
"1153",3,7,9,8
"1154",5,4,6,8
"1155",7,2,1,5
"1156",7,5,5,5
"1157",6,8,8,7
"1158",3,4,9,7
"1159",7,4,6,2
"1160",7,6,6,6
"1161",2,8,9,9
"1162",5,2,7,3
"1163",4,6,7,7
"1164",8,9,9,8
"1165",7,6,7,7
"1166",8,2,2,5
"1167",5,3,3,7
"1168",8,7,9,8
"1169",5,7,7,5
"1170",5,7,8,8
"1171",5,7,9,8
"1172",4,7,5,8
"1173",6,3,7,7
"1174",8,10,8,9
"1175",0,8,10,9
"1177",5,0,0,5
"1178",5,7,8,7
"1179",9,0,6,4
"1180",0,2,2,7
"1181",6,7,8,8
"1182",6,7,8,7
"1184",8,7,5,8
"1185",5,3,5,8
"1186",7,5,5,9
"1187",5,3,7,7
"1188",4,2,6,5
"1189",3,5,7,2
"1191",3,7,8,7
"1192",5,5,5,5
"1193",4,6,7,7
"1194",4,9,10,10
"1195",8,7,8,8
"1196",7,6,8,8
"1197",6,6,6,6
"1198",3,7,6,8
"1199",5,3,2,7
"1200",4,7,8,9
"1201",5,5,5,7
"1202",4,6,8,7
"1203",8,3,4,8
"1204",4,7,8,8
"1205",7,7,8,7
"1206",7,7,8,8
"1209",5,4,5,3
"1210",4,5,6,5
"1211",8,5,5,7
"1213",7,7,7,8
"1214",5,5,8,8
"1215",5,7,7,9
"1216",7,7,7,6
"1217",5,5,8,8
"1218",7,7,8,9
"1219",5,5,5,8
"1221",3,6,8,9
"1222",5,7,8,8
"1223",4,3,4,4
"1224",5,5,8,7
"1225",7,6,7,7
"1227",8,8,9,9
"1229",6,8,6,7
"1230",5,3,1,8
"1231",7,7,6,8
"1232",4,7,8,8
"1233",6,7,6,8
"1234",7,6,5,6
"1235",5,1,3,6
"1236",10,6,7,9
"1237",7,4,7,7
"1238",6,7,8,7
"1239",2,7,9,9
"1240",8,3,9,9
"1241",4,5,5,4
"1242",6,5,8,8
"1243",7,6,8,8
"1244",5,6,7,7
"1245",6,6,9,8
"1246",7,8,8,9
"1247",8,8,8,7
"1248",8,8,9,7
"1249",5,5,7,7
"1250",4,7,4,7
"1251",5,3,7,7
"1252",4,5,6,9
"1253",6,5,6,6
"1254",7,6,7,8
"1255",4,5,9,9
"1256",9,7,7,8
"1257",7,7,9,9
"1258",4,8,9,8
"1259",5,4,6,5
"1260",6,6,5,7
"1261",3,7,5,6
"1262",7,5,7,6
"1263",4,9,8,8
"1264",1,7,9,8
"1265",6,7,5,8
"1266",5,3,4,6
"1267",4,8,10,10
"1268",4,6,7,7
"1269",8,4,6,8
"1270",5,5,7,8
"1271",6,7,8,8
"1272",7,5,4,5
"1273",7,8,4,8
"1274",6,5,6,6
"1276",10,0,3,5
"1277",5,7,6,9
"1278",7,6,6,7
"1279",6,7,8,9
"1280",7,6,7,6
"1281",1,7,8,7
"1282",5,5,5,7
"1283",4,7,9,8
"1284",6,8,9,9
"1285",9,7,7,2
"1286",7,7,7,8
"1287",5,6,7,7
"1288",7,4,3,5
"1289",7,7,8,8
"1290",4,6,6,8
"1291",7,7,7,8
"1292",3,3,3,9
"1293",4,7,7,8
"1294",6,7,8,8
"1295",7,7,6,7
"1296",2,7,7,7
"1297",4,7,8,7
"1298",7,3,7,7
"1299",7,6,6,8
"1300",6,7,6,7
"1301",5,4,2,7
"1302",8,1,2,6
"1303",6,6,7,7
"1305",5,7,8,7
"1306",5,8,6,5
"1307",4,6,9,8
"1309",5,7,7,8
"1310",4,8,8,8
"1311",5,6,6,7
"1312",5,6,6,6
"1313",5,5,8,9
"1314",7,7,9,8
"1315",4,7,7,8
"1316",5,2,4,6
"1317",5,5,7,7
"1318",6,8,8,8
"1319",8,6,5,5
"1320",3,7,7,6
"1321",3,2,3,3
"1322",4,8,9,9
"1323",5,6,6,6
"1324",4,7,7,7
"1325",3,7,8,7
"1326",6,9,7,9
"1327",5,7,8,8
"1328",4,6,8,7
"1329",5,8,8,8
"1330",6,6,7,7
"1331",6,5,5,8
"1332",5,5,3,5
"1333",6,6,6,8
"1334",8,7,7,8
"1335",3,4,6,5
"1336",1,5,8,9
"1337",7,6,8,6
"1338",8,4,8,4
"1339",7,6,6,6
"1340",8,5,6,7
"1341",5,7,7,6
"1342",7,6,5,7
"1343",7,4,5,7
"1345",3,5,8,8
"1346",6,5,7,6
"1347",7,5,4,8
"1348",2,6,6,7
"1349",5,5,4,6
"1351",4,6,7,7
"1352",5,3,5,4
"1353",3,6,7,7
"1354",3,6,7,9
"1355",2,8,9,9
"1356",6,6,8,8
"1357",5,9,8,9
"1359",6,6,5,7
"1360",2,6,7,7
"1361",6,7,7,7
"1362",5,2,5,8
